instance,solver,time,n,len,obj_sm,obj_lr_ub,obj_lr
IN_30_9,ILP-SM-II,144903,30,1367,2.900248180677856,4.013973758645747,3.2059511952660595
IN_10_8,ILP-SM-I,53,10,448,4.230782624787611,4.519045322832821,3.3940910937008333
IN_20_6,ILP-SM-I,7933,20,944,3.091239583911374,4.772204834212052,3.2501433093489145
IN_40_2,ILP-SM-II,1200008,40,1591,2.648304349785636,3.4349824867965175,2.842755200080767
IN_15_9,ILP-SM-I,349,15,649,3.5895735229639447,5.322264854550427,3.1307091910071017
IN_30_6,ILP-SM-I,1200024,30,1472,2.7043076934054113,3.2269938727982437,2.8001411223651034
IN_35_2,ILP-SM-I,1200022,35,1370,3.037985419269896,4.240882634408707,3.094963932817631
IN_10_10,ILP-SM-I,89,10,430,4.122021757325401,4.947000796362369,3.3976031615083633
IN_40_6,ILP-SM-I,1200023,40,2026,2.9098029679559136,4.068155032845061,3.013345710135012
IN_35_1,ILP-SM-I,1200027,35,1424,2.923188828348697,3.717849049730526,3.072392069438433
IN_10_3,ILP-SM-II,169,10,500,3.549200065046549,4.243431880741894,2.9478295712797338
IN_20_2,ILP-SM-I,4911,20,821,3.1117228983576037,4.04184374829362,3.216537391815487
IN_15_2,ILP-SM-II,813,15,640,3.5816521661005156,4.935480535296253,3.3690503252500204
IN_35_3,ILP-SM-II,1200003,35,1429,2.9037172498476918,3.6279204595135206,3.0195895929941643
IN_25_5,ILP-SM-II,28550,25,1125,3.1501304356559463,4.075375895867166,3.099719503587796
IN_35_2,ILP-SM-II,495958,35,1355,3.0027080479111983,3.7010204118683827,3.109262186730115
IN_25_2,ILP-SM-I,53896,25,1150,2.838226098819919,3.7380600967578523,2.9475171581033006
IN_30_1,ILP-SM-I,1200041,30,1446,2.9322397429240894,3.430342208533418,2.9690079792960864
IN_10_7,ILP-SM-II,33,10,391,4.255243862947313,4.530166983363032,3.16542818235297
IN_30_10,ILP-SM-II,40553,30,1200,2.999925039075315,3.972029193204467,3.230337007785216
IN_10_5,ILP-SM-I,57,10,338,3.5252353065154134,3.925093100364594,3.332339535621642
IN_25_4,ILP-SM-II,71078,25,1198,3.0020413375344157,3.5644717506159562,2.9460666625688887
IN_40_8,ILP-SM-I,1200030,40,1783,2.732575426954131,3.8857314813165775,2.9714278812335935
IN_10_10,ILP-SM-II,87,10,430,4.122021757325401,4.947000796362369,3.397603161508363
IN_35_4,ILP-SM-I,1200027,35,1460,2.8923401532529973,3.341877231115194,2.9562556095069272
IN_20_3,ILP-SM-II,6606,20,914,2.9130515692774783,3.722751098029024,2.9417692879287083
IN_40_4,ILP-SM-I,1200025,40,1728,2.744174162867699,3.3573438968210905,2.84490920830554
IN_20_9,ILP-SM-II,1904,20,778,3.2771666633204006,3.8858069070018066,3.1093381674180427
IN_40_7,ILP-SM-I,1200024,40,1918,3.032849734226348,3.6913101905960337,3.071987842178351
IN_40_1,ILP-SM-I,1200020,40,1832,2.8020053739909843,3.4371284807553857,2.90738060268134
IN_25_3,ILP-SM-I,100274,25,1093,2.735845476998524,3.399984524385929,2.7968069121208385
