instance,obj_sm_imx8a,obj_lr_imx8a,obj_lr_ub_imx8a,power_imx8a,obj_sm_imx8b,obj_lr_imx8b,obj_lr_ub_imx8b,power_imx8b,obj_sm_tx2,obj_lr_tx2,obj_lr_ub_tx2,power_tx2
inst_0899,7.912485195845611,7.264041814435539,8.069450674791174,7.302433962257192,7.275169322317379,6.792970793104752,7.396388898440394,7.001836963105104,4.5756741082790455,4.336609475510167,5.098935694933518,4.504909090909091
inst_0212,8.365796624778241,7.111373201984295,8.900599118097439,7.3033986641271635,7.584814156211319,6.619554717530478,7.926710991865111,7.035638765864655,4.976820397411544,4.3309663876507845,6.227672030192005,4.36269090909091
inst_0219,7.7113825350153125,7.017878562184405,8.000196203482757,7.303924528302027,6.992350575838831,6.6556525667244175,7.406747346819858,6.951310768145668,4.476178987236263,4.270906139590732,5.481225143613936,4.564709090909092
inst_0340,7.770037206139556,6.52760753893215,7.087150655405081,7.306221416440016,7.096374219713549,6.248685966270212,6.730610854376707,6.88978988990531,3.8210121872644476,3.637931380483162,4.380998133524186,3.897654545454545
inst_0898,7.994210463917208,6.984316703563756,10.03654727651747,7.314397647889292,7.395241978667566,6.6961257461434265,9.260903980082025,7.029590938964489,5.116902093901723,4.700366227682846,8.427042594470125,4.9843636363636366
inst_0567,7.749666579498896,6.757490475894786,6.991765966699982,7.317835705670833,7.07203841159777,6.317186138858165,6.477471728504934,6.947371638581474,4.179511988368156,3.768613935004627,3.9846136670670935,3.889109090909091
inst_0683,8.676467686814966,7.409776970374945,9.960150218343228,7.318805318960992,7.89390502811715,7.0591334143884215,8.936149227262764,7.139242579411959,5.344289334371238,4.969461680221241,6.952177953824988,5.1332545454545455
inst_0527,9.21526399000918,6.80680882329547,8.133453987322362,7.319427541769252,8.275193555543384,6.488205278322132,7.500096453580963,7.029973039940791,6.136492127649991,5.035184109170498,7.530011117440745,5.376490909090909
inst_0983,7.70135782598501,6.751717316082494,7.033556718287526,7.320201578234037,7.153588054475151,6.536520114624555,6.781154345295914,7.017359153579062,4.621125124601531,4.53971722598908,4.982123636014839,5.034127272727273
inst_0655,7.767961955726984,6.546799567768559,8.31005985391782,7.324440872110867,7.102389136838991,6.225905898793632,7.695111342357007,6.962360281004069,3.7003208588100645,3.4806243692297874,5.419387498229292,3.814490909090909
inst_0880,7.844420469125822,6.931006110136272,7.754895596777543,7.326311563048509,7.21144013703651,6.511837072598915,7.070776138292375,6.933624152589191,4.07142541213734,3.956933376511353,4.588877188256294,4.232436363636364
inst_0189,8.273133963894848,7.16855356786313,8.986695626406851,7.328791160688189,7.573546946200837,6.813061472183981,8.289093502061903,7.062313879394812,4.933927809296335,4.680582166842872,7.109541556382597,4.848254545454545
inst_0564,7.539974353423396,7.2277304320344,10.09282576908403,7.330773584904887,7.113120237783929,6.882932724215184,9.439671158862723,7.155778951364546,4.793362162932873,4.484773572471701,8.310393951081158,4.720236363636364
inst_0160,7.7805150455859255,7.080152770549301,8.103526202972622,7.330803730629626,7.2491996654260396,6.829332183524436,7.722665621574057,7.07587371519085,4.349984474003996,4.103135797400365,5.235100719423609,4.310872727272727
inst_0122,8.380031651895461,6.808933328107436,7.870554828216703,7.330947156304667,7.582327088476637,6.5134621310783745,7.359647968243866,6.955353414792441,5.218713978143162,4.635381419024007,6.242053228118728,5.075148148148148
inst_0660,7.828865590181341,6.5475717863641645,6.909384578143307,7.338451445576746,7.173315043256145,6.268447662153299,6.560424829912727,7.005161286672083,4.047790389573052,3.7503830821724966,4.2265963141394,4.127072727272728
inst_0153,9.47003088522098,6.873259889211811,8.589258094506413,7.3390100414717665,8.222066189448956,6.470593359521784,7.7284607592508525,6.947855049755607,4.725842101382206,3.9994135276890717,6.323714182484922,4.248290909090909
inst_0869,8.073396832319787,7.096782690318865,8.832498186624939,7.341076704586535,7.333225091123724,6.695413342868592,8.07799212178326,7.028843873342637,4.637287215994405,4.402352619377153,6.459648924465753,4.492072727272728
inst_0398,7.828401813650388,6.587546781504137,7.246276606950622,7.343111293081,7.163992257715511,6.232397503733174,6.779233457253039,6.926970509823807,3.520940145576326,3.3541182558534324,4.314419540093514,3.508
inst_0082,7.999096691181097,7.164852512513171,10.225657675977196,7.34355515798505,7.412042057139617,6.794319787336922,9.363163288234011,7.021156602705419,4.3549663415293605,4.185466915688567,6.93833482157172,4.380654545454546
inst_0561,7.557962446906453,6.763721661224366,8.05852626206505,7.347696963747156,6.999474233339419,6.519199150850679,7.7746446514953345,6.955928634498974,4.3072265688866125,4.143857684231753,5.770487474690887,4.504345454545454
inst_0085,8.215774684935212,7.118540428712032,9.77709041828242,7.348575199995128,7.537436849354767,6.687314384406268,8.75772747585494,6.94268186516845,4.064191247025885,3.9392650460117524,6.204590421008259,4.129600000000001
inst_0476,9.123309977202023,6.84542910631662,8.617038713645744,7.350372649748035,8.10217390816102,6.495749717787998,7.9086371827956015,7.1997960721557925,4.911825425589571,4.55233171488748,7.226550625656255,4.544925925925926
inst_0282,7.977174998192266,7.260206375701313,10.422624977079526,7.35250693911293,7.423050712083689,6.8923050225823435,9.526155449412887,7.069056408827969,4.462596559404077,4.268794716907472,7.312830095316222,4.426407407407408
inst_0539,8.679980109034737,7.506525161400241,10.262122969473369,7.353652609291666,8.021434019022639,7.136170829684756,9.218814445632448,7.240740279525608,4.935250849235789,4.663867796955584,6.711852073289164,4.901963636363637
inst_0738,7.9145455903692845,6.975754517573653,7.996605238438526,7.357344608791489,7.365447275636426,6.720848895932745,7.5297191192782265,7.104060624942436,5.14914837196528,4.9845003053773285,6.38294917110319,5.256236363636363
inst_0298,7.693149635886173,6.890010878458277,8.105097616859688,7.358122357197431,7.221093135097502,6.658472627662425,7.675393088283393,7.088180943744469,4.399389092861346,4.276396033442086,5.552585805949626,4.6610000000000005
inst_0206,8.788553756763605,7.217710880544178,8.525509542257726,7.359691985951789,7.9722100314419695,6.984751783021984,7.924602355289172,7.147466315981912,5.136761230603375,5.02905400359321,6.125380357296487,5.267254545454545
inst_0247,7.831656521792129,6.643955349756242,8.053546560001024,7.360705057269439,7.152148775766381,6.284070154138519,7.390751194275819,6.921728288650479,3.6490357302879968,3.449034953066371,4.489584772345424,3.7474
inst_0780,7.8843282571028155,7.142506195290755,9.74739275109971,7.364497513676337,7.30208142413695,6.702578116248842,8.936042090128517,7.026819275637363,4.786372383260268,4.258817988285718,7.661334447303686,4.324963636363637
inst_0521,8.089678570877883,6.888378484164056,7.642107125392283,7.36490309770011,7.424976459040374,6.558575982625484,7.1556688461266145,6.982090812155431,4.4641586787208665,4.309995465128734,5.23375709671843,4.658018181818182
inst_0875,7.797953202645774,6.867708959005341,9.956770531000974,7.366178950326313,7.166930215271291,6.538434209870833,9.190933302018331,6.987524346678429,4.26313940672652,4.029583760973126,8.491758216098274,4.416672727272728
inst_0750,7.500001334212657,7.3924335768626435,8.347359296937595,7.36744786310784,7.2711205908576035,7.1781925141573355,8.049681677757606,7.269096749219968,5.266931346450369,5.079134949843999,6.664656318517796,5.188218181818182
inst_0823,8.156527716204305,6.974381716680668,9.504929877881157,7.371600205210504,7.551871465425915,6.633990606458925,8.554142913425475,7.035683032663792,4.610048221952502,4.421851719877283,7.125238455141725,4.572945454545454
inst_0803,7.897886887031105,7.3667909612772124,8.913718664659038,7.377762130207845,7.422157233108736,6.985885830906041,8.252450882584553,7.018167485624118,4.3597256390784285,4.209760476766451,5.855867954595723,4.448490909090909
inst_0107,7.602747032899897,6.6264259961081695,8.321881865770692,7.379322147042314,7.010005428164069,6.332717592714846,7.606879805309126,6.9615285339682496,4.777332430936802,4.323773212736427,6.091888300154112,4.823236363636363
inst_0768,7.464843673703971,6.628792159212326,7.840763964088628,7.382467392302432,7.008015021386841,6.4614534409864985,7.703388742046502,7.00911030000752,4.275694654866243,4.0761267036186695,5.529177291241583,4.469381818181818
inst_0088,8.508674913007567,7.340987615620367,9.668100859240658,7.38341206366572,7.722214894266848,6.950040846427486,8.800535335635495,7.083002989043276,4.950023195714001,4.660469834915221,7.288280361404441,5.017399999999999
inst_0597,7.815001743491399,6.972492989225296,8.764078773423218,7.393317964783845,7.257488180289816,6.668917483838282,8.20532353619801,7.093741851512138,4.595813612653192,4.372257222461113,6.312985635361905,4.7106
inst_0866,8.160558709577009,7.196632141471752,8.61932641510845,7.394110417321884,7.443771915133283,6.696385886356017,7.719815341924109,7.075644357036213,4.191730721433045,4.0839824862055085,5.065546440008738,4.313636363636364
inst_0706,8.862810097807953,7.311332570003431,10.814588749187433,7.394299163266972,7.948136317610372,6.902990503631832,9.731770756488043,7.171397730288273,5.4160974382964655,4.766433355576149,8.553996677177082,5.05789090909091
inst_0323,9.67984760059317,7.044629200634364,8.576587438496022,7.397375392659824,8.551731159825565,6.677070645969621,7.811257444269453,6.982889899922337,5.87729925270663,4.6177917223358,7.34328756366247,4.962509090909092
inst_0051,8.100081067696793,7.016852888475729,9.347850441368358,7.3987784928707425,7.511497813811511,6.7204648699758,8.443094386278922,7.080168983362948,5.805257166985742,4.755141755142542,7.3335714662954885,4.972854545454545
inst_0231,7.6887730920940704,7.247705436925598,8.814738985620476,7.402197085634725,7.454088806809439,7.135076874342132,8.644092817335647,7.167420503707401,5.487270431028254,5.232645895861747,7.432935595572042,5.5966545454545455
inst_0131,8.045327513308187,6.760142737780219,8.087132488918915,7.406770089523188,7.361880424248346,6.484733833391954,7.531624685077663,7.05291701902346,5.0443068441699666,4.651892778831186,6.32262826812541,5.248472727272727
