benchmark,affinity,intercept,slope,exec_time,command,runtime
rspeed-4M,A57,0.9102927927927937,1.2284369369369366,0.5045811414141413,./rspeed-4M -v0 -c1 -i100,0.9491750174821957
rspeed-4M,Denver,0.7454932432432435,1.7044628378378377,0.5315996861702127,./rspeed-4M -v0 -c1 -i100,1.0
tblook-4K,A57,0.4000540540540536,0.7996722972972975,0.0013667151649343957,./tblook-4K -v0 -c1 -i100,1.12454222455657
tblook-4K,Denver,0.3817195945945939,1.4760168918918923,0.0012153524652872146,./tblook-4K -v0 -c1 -i100,1.0
tblook-4M,A57,0.4312522522522526,0.8991126126126124,1.3577706727272727,./tblook-4M -v0 -c1 -i100,1.1765669538264958
tblook-4M,Denver,0.46988175675675725,1.6068581081081081,1.1540105459459458,./tblook-4M -v0 -c1 -i100,1.0
tinyrenderer-boggie,A57,0.4857015765765764,0.5872038288288287,0.1763859669616519,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj,1.1033147299611423
tinyrenderer-boggie,Denver,0.5237668918918916,0.9795777027027031,0.15986913087606838,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/boggie/*.obj,1.0
tinyrenderer-diablo,A57,0.4556554054054054,0.5802162162162162,0.19951602666666665,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj,1.1336435474608502
tinyrenderer-diablo,Denver,0.5212364864864862,0.9079121621621624,0.17599537977660198,/root/thermobench/build/benchmarks/tinyrenderer/tinyrenderer /root/thermobench/benchmarks/tinyrenderer/obj/diablo3_pose/*.obj,1.0
ttsprk-4K,A57,0.3916632882882878,0.6713400900900902,0.0005808602718312536,./ttsprk-4K -v0 -c1 -i100,1.4081345704990018
ttsprk-4K,Denver,0.40566891891891954,1.4649256756756754,0.00041250338142427226,./ttsprk-4K -v0 -c1 -i100,1.0
ttsprk-4M,A57,0.3822972972972969,0.7108918918918921,0.20696685024154593,./ttsprk-4M -v0 -c1 -i100,1.3359799862356234
ttsprk-4M,Denver,0.34568243243243346,1.5038783783783778,0.1549176277892562,./ttsprk-4M -v0 -c1 -i100,1.0
